Province     , District         , Crop     , Area_Ha, Production_Mt, Yield_MtHa, Year_BS, Year_AD
KOSHI        , TAPLEJUNG        , Maize    , 11198.0, 38312.0      , 3.42      , 2078/79, 2021/22
KOSHI        , TAPLEJUNG        , Wheat    , 1537.0 , 2875.0       , 1.87      , 2078/79, 2021/22
KOSHI        , SANKHUWASABHA    , Maize    , 12458.0, 33146.0      , 2.66      , 2078/79, 2021/22
KOSHI        , SANKHUWASABHA    , Wheat    , 715.0  , 1650.0       , 2.31      , 2078/79, 2021/22
KOSHI        , SOLUKHUMBU       , Maize    , 13770.0, 39048.0      , 2.84      , 2078/79, 2021/22
KOSHI        , SOLUKHUMBU       , Wheat    , 2665.0 , 5306.0       , 1.99      , 2078/79, 2021/22
KOSHI        , PANCHTHAR        , Maize    , 18683.0, 42971.0      , 2.3       , 2078/79, 2021/22
KOSHI        , PANCHTHAR        , Wheat    , 3902.0 , 6476.0       , 1.66      , 2078/79, 2021/22
KOSHI        , ILLAM            , Maize    , 33915.0, 131700.0     , 3.88      , 2078/79, 2021/22
KOSHI        , ILLAM            , Wheat    , 4580.0 , 11679.0      , 2.55      , 2078/79, 2021/22
KOSHI        , TERHATHUM        , Maize    , 12897.0, 38756.0      , 3.01      , 2078/79, 2021/22
KOSHI        , TERHATHUM        , Wheat    , 2399.0 , 4796.0       , 2.0       , 2078/79, 2021/22
KOSHI        , DHANKUTA         , Maize    , 13467.0, 45114.0      , 3.35      , 2078/79, 2021/22
KOSHI        , DHANKUTA         , Wheat    , 1302.0 , 2733.0       , 2.1       , 2078/79, 2021/22
KOSHI        , BHOJPUR          , Maize    , 36898.0, 97555.0      , 2.64      , 2078/79, 2021/22
KOSHI        , BHOJPUR          , Wheat    , 414.0  , 745.0        , 1.8       , 2078/79, 2021/22
KOSHI        , KHOTANG          , Maize    , 35845.0, 98079.0      , 2.74      , 2078/79, 2021/22
KOSHI        , KHOTANG          , Wheat    , 3530.0 , 6531.0       , 1.85      , 2078/79, 2021/22
KOSHI        , OKHALDHUNGA      , Maize    , 12400.0, 39680.0      , 3.2       , 2078/79, 2021/22
KOSHI        , OKHALDHUNGA      , Wheat    , 2145.0 , 3330.0       , 1.55      , 2078/79, 2021/22
KOSHI        , UDAYAPUR         , Maize    , 17836.0, 55239.0      , 3.1       , 2078/79, 2021/22
KOSHI        , UDAYAPUR         , Wheat    , 5130.0 , 12825.0      , 2.5       , 2078/79, 2021/22
KOSHI        , JHAPA            , Maize    , 41059.0, 162613.0     , 3.96      , 2078/79, 2021/22
KOSHI        , JHAPA            , Wheat    , 5000.0 , 13505.0      , 2.7       , 2078/79, 2021/22
KOSHI        , MORANG           , Maize    , 18552.0, 68801.0      , 3.71      , 2078/79, 2021/22
KOSHI        , MORANG           , Wheat    , 11755.0, 33687.0      , 2.87      , 2078/79, 2021/22
KOSHI        , SUNSARI          , Maize    , 9034.0 , 29432.0      , 3.26      , 2078/79, 2021/22
KOSHI        , SUNSARI          , Wheat    , 12127.0, 41195.0      , 3.4       , 2078/79, 2021/22
MADHESH      , SAPTARI          , Maize    , 6589.0 , 23211.0      , 3.52      , 2078/79, 2021/22
MADHESH      , SAPTARI          , Wheat    , 15017.0, 54351.0      , 3.62      , 2078/79, 2021/22
MADHESH      , SIRAHA           , Maize    , 3755.0 , 14007.0      , 3.73      , 2078/79, 2021/22
MADHESH      , SIRAHA           , Wheat    , 11794.0, 41468.0      , 3.52      , 2078/79, 2021/22
MADHESH      , DHANUSHA         , Maize    , 3476.0 , 11343.0      , 3.26      , 2078/79, 2021/22
MADHESH      , DHANUSHA         , Wheat    , 37788.0, 126387.0     , 3.34      , 2078/79, 2021/22
MADHESH      , MAHOTTARI        , Maize    , 9754.0 , 29783.0      , 3.05      , 2078/79, 2021/22
MADHESH      , MAHOTTARI        , Wheat    , 29379.0, 95874.0      , 3.26      , 2078/79, 2021/22
MADHESH      , SARLAHI          , Maize    , 10205.0, 35831.0      , 3.51      , 2078/79, 2021/22
MADHESH      , SARLAHI          , Wheat    , 22984.0, 77128.0      , 3.36      , 2078/79, 2021/22
MADHESH      , RAUTAHAT         , Maize    , 3513.0 , 12821.0      , 3.65      , 2078/79, 2021/22
MADHESH      , RAUTAHAT         , Wheat    , 15991.0, 52888.0      , 3.31      , 2078/79, 2021/22
MADHESH      , BARA             , Maize    , 11940.0, 46653.0      , 3.91      , 2078/79, 2021/22
MADHESH      , BARA             , Wheat    , 27103.0, 94650.0      , 3.49      , 2078/79, 2021/22
MADHESH      , PARSA            , Maize    , 4189.0 , 17166.0      , 4.1       , 2078/79, 2021/22
MADHESH      , PARSA            , Wheat    , 23008.0, 86163.0      , 3.74      , 2078/79, 2021/22
BAGMATI      , DOLAKHA          , Maize    , 6171.0 , 22155.0      , 3.59      , 2078/79, 2021/22
BAGMATI      , DOLAKHA          , Wheat    , 4246.0 , 7515.0       , 1.77      , 2078/79, 2021/22
BAGMATI      , SINDHUPALCHOK    , Maize    , 26190.0, 75713.0      , 2.89      , 2078/79, 2021/22
BAGMATI      , SINDHUPALCHOK    , Wheat    , 6904.0 , 8723.0       , 1.26      , 2078/79, 2021/22
BAGMATI      , RASUWA           , Maize    , 2524.0 , 6310.0       , 2.5       , 2078/79, 2021/22
BAGMATI      , RASUWA           , Wheat    , 761.0  , 1232.0       , 1.62      , 2078/79, 2021/22
BAGMATI      , RAMECHAP         , Maize    , 22367.0, 68286.0      , 3.05      , 2078/79, 2021/22
BAGMATI      , RAMECHAP         , Wheat    , 3674.0 , 8560.0       , 2.33      , 2078/79, 2021/22
BAGMATI      , SINDHULI         , Maize    , 27556.0, 85601.0      , 3.11      , 2078/79, 2021/22
BAGMATI      , SINDHULI         , Wheat    , 6354.0 , 14890.0      , 2.34      , 2078/79, 2021/22
BAGMATI      , KAVRE            , Maize    , 26010.0, 88550.0      , 3.4       , 2078/79, 2021/22
BAGMATI      , KAVRE            , Wheat    , 8860.0 , 28700.0      , 3.24      , 2078/79, 2021/22
BAGMATI      , BHAKTAPUR        , Maize    , 1900.0 , 7750.0       , 4.08      , 2078/79, 2021/22
BAGMATI      , BHAKTAPUR        , Wheat    , 3150.0 , 12409.0      , 3.94      , 2078/79, 2021/22
BAGMATI      , LALITPUR         , Maize    , 8573.0 , 33656.0      , 3.93      , 2078/79, 2021/22
BAGMATI      , LALITPUR         , Wheat    , 3485.0 , 11858.0      , 3.4       , 2078/79, 2021/22
BAGMATI      , KATHMANDU        , Maize    , 6897.0 , 29748.0      , 4.31      , 2078/79, 2021/22
BAGMATI      , KATHMANDU        , Wheat    , 3200.0 , 11174.0      , 3.49      , 2078/79, 2021/22
BAGMATI      , NUWAKOT          , Maize    , 16206.0, 49408.0      , 3.05      , 2078/79, 2021/22
BAGMATI      , NUWAKOT          , Wheat    , 4495.0 , 16044.0      , 3.57      , 2078/79, 2021/22
BAGMATI      , DHADING          , Maize    , 19776.0, 45785.0      , 2.32      , 2078/79, 2021/22
BAGMATI      , DHADING          , Wheat    , 4748.0 , 15496.0      , 3.26      , 2078/79, 2021/22
BAGMATI      , MAKWANPUR        , Maize    , 24113.0, 78209.0      , 3.24      , 2078/79, 2021/22
BAGMATI      , MAKWANPUR        , Wheat    , 4128.0 , 13622.0      , 3.3       , 2078/79, 2021/22
BAGMATI      , CHITWAN          , Maize    , 28055.0, 105239.0     , 3.75      , 2078/79, 2021/22
BAGMATI      , CHITWAN          , Wheat    , 5151.0 , 23248.0      , 4.51      , 2078/79, 2021/22
GANDAKI      , MANANG           , Maize    , 177.0  , 351.0        , 1.98      , 2078/79, 2021/22
GANDAKI      , MANANG           , Wheat    , 213.0  , 500.0        , 2.35      , 2078/79, 2021/22
GANDAKI      , MUSTANG          , Maize    , 67.0   , 99.0         , 1.48      , 2078/79, 2021/22
GANDAKI      , MUSTANG          , Wheat    , 84.0   , 142.0        , 1.69      , 2078/79, 2021/22
GANDAKI      , GORKHA           , Maize    , 18935.0, 46400.0      , 2.45      , 2078/79, 2021/22
GANDAKI      , GORKHA           , Wheat    , 3910.0 , 9235.0       , 2.36      , 2078/79, 2021/22
GANDAKI      , LAMJUNG          , Maize    , 19255.0, 48166.0      , 2.5       , 2078/79, 2021/22
GANDAKI      , LAMJUNG          , Wheat    , 368.0  , 962.0        , 2.61      , 2078/79, 2021/22
GANDAKI      , TANAHU           , Maize    , 22316.0, 74574.0      , 3.34      , 2078/79, 2021/22
GANDAKI      , TANAHU           , Wheat    , 1643.0 , 4119.0       , 2.51      , 2078/79, 2021/22
GANDAKI      , KASKI            , Maize    , 13583.0, 39229.0      , 2.97      , 2078/79, 2021/22
GANDAKI      , KASKI            , Wheat    , 6820.0 , 17201.0      , 2.52      , 2078/79, 2021/22
GANDAKI      , PARBAT           , Maize    , 13700.0, 35500.0      , 2.59      , 2078/79, 2021/22
GANDAKI      , PARBAT           , Wheat    , 2600.0 , 6350.0       , 2.44      , 2078/79, 2021/22
GANDAKI      , SYANGJA          , Maize    , 28945.0, 97930.0      , 3.38      , 2078/79, 2021/22
GANDAKI      , SYANGJA          , Wheat    , 5560.0 , 16008.0      , 2.88      , 2078/79, 2021/22
