Province     , District        , Crop     , Area_Ha, Production_Mt, Yield_MtHa, Year_BS, Year_AD
KOSHI        , TAPLEJUNG       , Maize    , 9968   , 34160        , 3.43      , 2075/76, 2018/19
KOSHI        , TAPLEJUNG       , Wheat    , 1538   , 2876         , 1.87      , 2075/76, 2018/19
KOSHI        , SANKHUWASABHA   , Maize    , 12457  , 24154        , 1.94      , 2075/76, 2018/19
KOSHI        , SANKHUWASABHA   , Wheat    , 715    , 1608         , 2.25      , 2075/76, 2018/19
KOSHI        , SOLUKHUMBU      , Maize    , 13528  , 32751        , 2.42      , 2075/76, 2018/19
KOSHI        , SOLUKHUMBU      , Wheat    , 2665   , 5103         , 1.91      , 2075/76, 2018/19
KOSHI        , PANCHTHAR       , Maize    , 18879  , 37418        , 1.98      , 2075/76, 2018/19
KOSHI        , PANCHTHAR       , Wheat    , 3055   , 7419         , 2.43      , 2075/76, 2018/19
KOSHI        , ILLAM           , Maize    , 32798  , 120533       , 3.68      , 2075/76, 2018/19
KOSHI        , ILLAM           , Wheat    , 4720   , 15449        , 3.27      , 2075/76, 2018/19
KOSHI        , TERHATHUM       , Maize    , 12897  , 31082        , 2.41      , 2075/76, 2018/19
KOSHI        , TERHATHUM       , Wheat    , 2401   , 4755         , 1.98      , 2075/76, 2018/19
KOSHI        , DHANKUTA        , Maize    , 13467  , 41613        , 3.09      , 2075/76, 2018/19
KOSHI        , DHANKUTA        , Wheat    , 1302   , 2800         , 2.15      , 2075/76, 2018/19
KOSHI        , BHOJPUR         , Maize    , 37629  , 99378        , 2.64      , 2075/76, 2018/19
KOSHI        , BHOJPUR         , Wheat    , 405    , 856          , 2.11      , 2075/76, 2018/19
KOSHI        , KHOTANG         , Maize    , 42621  , 94219        , 2.21      , 2075/76, 2018/19
KOSHI        , KHOTANG         , Wheat    , 5169   , 12584        , 2.43      , 2075/76, 2018/19
KOSHI        , OKHALDHUNGA     , Maize    , 12937  , 33352        , 2.58      , 2075/76, 2018/19
KOSHI        , OKHALDHUNGA     , Wheat    , 2210   , 4611         , 2.09      , 2075/76, 2018/19
KOSHI        , UDAYAPUR        , Maize    , 17836  , 39846        , 2.23      , 2075/76, 2018/19
KOSHI        , UDAYAPUR        , Wheat    , 5799   , 14020        , 2.42      , 2075/76, 2018/19
KOSHI        , JHAPA           , Maize    , 38913  , 151644       , 3.9       , 2075/76, 2018/19
KOSHI        , JHAPA           , Wheat    , 7500   , 29450        , 3.93      , 2075/76, 2018/19
KOSHI        , MORANG          , Maize    , 17290  , 67103        , 3.88      , 2075/76, 2018/19
KOSHI        , MORANG          , Wheat    , 12305  , 42773        , 3.48      , 2075/76, 2018/19
KOSHI        , SUNSARI         , Maize    , 8896   , 24126        , 2.71      , 2075/76, 2018/19
KOSHI        , SUNSARI         , Wheat    , 11848  , 47945        , 4.05      , 2075/76, 2018/19
MADHESH      , SAPTARI         , Maize    , 3854   , 10999        , 2.85      , 2075/76, 2018/19
MADHESH      , SAPTARI         , Wheat    , 15273  , 53103        , 3.48      , 2075/76, 2018/19
MADHESH      , SIRAHA          , Maize    , 3816   , 8895         , 2.33      , 2075/76, 2018/19
MADHESH      , SIRAHA          , Wheat    , 11777  , 39955        , 3.39      , 2075/76, 2018/19
MADHESH      , DHANUSHA        , Maize    , 3284   , 9556         , 2.91      , 2075/76, 2018/19
MADHESH      , DHANUSHA        , Wheat    , 36290  , 116708       , 3.22      , 2075/76, 2018/19
MADHESH      , MAHOTTARI       , Maize    , 9714   , 24907        , 2.56      , 2075/76, 2018/19
