Province,District,Crop,Area_Ha,Production_Mt,Yield_MtHa,Year_BS,Year_AD
KOSHI,TAPLEJUNG,Maize,11210.0,39918.0,3.56,2080/81,2023/24
KOSHI,TAPLEJUNG,Wheat,1498.0,2786.0,1.86,2080/81,2023/24
KOSHI,SANKHUWASABHA,Maize,12460.0,30527.0,2.45,2080/81,2023/24
KOSHI,SANKHUWASABHA,Wheat,714.0,1714.0,2.4,2080/81,2023/24
KOSHI,SOLUKHUMBU,Maize,13770.0,33184.0,2.41,2080/81,2023/24
KOSHI,SOLUKHUMBU,Wheat,2665.0,5304.0,1.99,2080/81,2023/24
KOSHI,PANCHTHAR,Maize,18808.0,67709.0,3.6,2080/81,2023/24
KOSHI,PANCHTHAR,Wheat,3725.0,6035.0,1.62,2080/81,2023/24
KOSHI,ILLAM,Maize,33002.0,129368.0,3.62,2080/81,2023/24
KOSHI,ILLAM,Wheat,4520.0,11526.0,2.55,2080/81,2023/24
KOSHI,TERHATHUM,Maize,12907.0,36269.0,2.81,2080/81,2023/24
KOSHI,TERHATHUM,Wheat,1396.0,2781.0,1.99,2080/81,2023/24
KOSHI,DHANKUTA,Maize,13470.0,45488.0,3.38,2080/81,2023/24
KOSHI,DHANKUTA,Wheat,1295.0,2720.0,2.1,2080/81,2023/24
KOSHI,BHOJPUR,Maize,32825.0,78780.0,2.4,2080/81,2023/24
KOSHI,BHOJPUR,Wheat,390.0,710.0,1.82,2080/81,2023/24
KOSHI,KHOTANG,Maize,21814.0,39919.0,1.83,2080/81,2023/24
KOSHI,KHOTANG,Wheat,1494.0,2212.0,1.48,2080/81,2023/24
KOSHI,OKHALDHUNGA,Maize,12400.0,42160.0,3.4,2080/81,2023/24
KOSHI,OKHALDHUNGA,Wheat,2145.0,4076.0,1.9,2080/81,2023/24
KOSHI,UDAYAPUR,Maize,17842.0,43891.0,2.46,2080/81,2023/24
KOSHI,UDAYAPUR,Wheat,5130.0,12825.0,2.5,2080/81,2023/24
KOSHI,JHAPA,Maize,44350.0,260335.0,5.87,2080/81,2023/24
KOSHI,JHAPA,Wheat,3000.0,7950.0,2.65,2080/81,2023/24
KOSHI,MORANG,Maize,20452.0,141119.0,6.9,2080/81,2023/24
KOSHI,MORANG,Wheat,11960.0,35880.0,3.0,2080/81,2023/24
KOSHI,SUNSARI,Maize,10641.0,55333.0,5.2,2080/81,2023/24
KOSHI,SUNSARI,Wheat,12248.0,41298.0,3.37,2080/81,2023/24
MADHESH,SAPTARI,Maize,5150.0,18025.0,3.5,2080/81,2023/24
MADHESH,SAPTARI,Wheat,19412.0,70543.0,3.63,2080/81,2023/24
MADHESH,SIRAHA,Maize,3411.0,16374.0,4.8,2080/81,2023/24
MADHESH,SIRAHA,Wheat,14250.0,52896.0,3.71,2080/81,2023/24
MADHESH,DHANUSHA,Maize,3350.0,9515.0,2.84,2080/81,2023/24
MADHESH,DHANUSHA,Wheat,33500.0,97150.0,2.9,2080/81,2023/24
MADHESH,MAHOTTARI,Maize,5000.0,22500.0,4.5,2080/81,2023/24
MADHESH,MAHOTTARI,Wheat,29100.0,97951.0,3.37,2080/81,2023/24
MADHESH,SARLAHI,Maize,11400.0,62700.0,5.5,2080/81,2023/24
MADHESH,SARLAHI,Wheat,23350.0,78456.0,3.36,2080/81,2023/24
MADHESH,RAUTAHAT,Maize,4950.0,20700.0,4.18,2080/81,2023/24
MADHESH,RAUTAHAT,Wheat,14800.0,58200.0,3.93,2080/81,2023/24
MADHESH,BARA,Maize,15050.0,90055.0,5.9,2080/81,2023/24
MADHESH,BARA,Wheat,30000.0,90000.0,3.0,2080/81,2023/24
MADHESH,PARSA,Maize,3890.0,15599.0,4.01,2080/81,2023/24
MADHESH,PARSA,Wheat,23020.0,85865.0,3.73,2080/81,2023/24
BAGMATI,DOLAKHA,Maize,6171.0,22030.0,3.57,2080/81,2023/24
