District_Key   , District       , Year_AD, Year_BS, Province              , Elevation_Min     , Elevation_Max    , Slope_Median      , Landform, Parent_Material, Dominant_Soil, area    , longitude, latitude, Potassium_mean   , Nitrogen_mean     , OrganicMatter_mean, Phosphorous_mean , pH_mean         , Barley_Area_Ha, Maize_Area_Ha, Millet_Area_Ha, Wheat_Area_Ha, Barley_Production_Mt, Maize_Production_Mt, Millet_Production_Mt, Wheat_Production_Mt, Barley_Yield_MtHa, Maize_Yield_MtHa, Millet_Yield_MtHa, Wheat_Yield_MtHa
ACHHAM         , ACHHAM         ,2019, 2075/76, Sudurpashchim Province,326.0,3808.05981445312,1309.40710449219, TM      , MA2            , RGe          ,1700.448,81.299,29.112,340.802369515909,0.157029261043055,3.00074424062216,50.6899062359667,6.16690186329933, 446.0         , 6907.0       , 3430.0        , 14460.0      , 544.0               , 16349.0            , 3840.0              , 25207.0            , 1.22             , 2.37            , 1.12             , 1.74
ARGHAKHANCHI   , ARGHAKHANCHI   ,2019, 2075/76, Lumbini Province      ,184.144287109375,2259.11962890625,989.529876708984, TH      , SC2            , RGd          ,1239.185,83.081,27.908,326.970778707167,0.113508838927416,2.90825089048057,124.945358732945,6.3781995512863, 219.0         , 16729.0      , 499.0         , 5446.0       , 387.0               , 57715.0            , 639.0               , 16067.0            , 1.77             , 3.45            , 1.28             , 2.95
BAGLUNG        , BAGLUNG        ,2019, 2075/76, Gandaki Province      ,581.0,4640.00634765625,2237.62829589844, TM      , MA2            , LPi          ,1836.212,83.252,28.347,301.71833667512,0.137939779891388,2.87585215197176,162.636879612817,5.99541631943854, 776.0         , 20697.0      , 18163.0       , 6493.0       , 1115.0              , 72170.0            , 22505.0             , 15439.0            , 1.44             , 3.49            , 1.24             , 2.38
BAITADI        , BAITADI        ,2019, 2075/76, Sudurpashchim Province,383.0,3062.84936523438,1600.75384521484, TM      , MA2            , RGe          ,1492.847,80.573,29.508,546.882015889854,0.102074697927388,4.26701608064358,111.017300274489,6.65541103098621, 885.0         , 14990.0      , 352.0         , 19527.0      , 599.0               , 27791.0            , 408.0               , 21961.0            , 0.68             , 1.85            , 1.16             , 1.12
BAJHANG        , BAJHANG        ,2019, 2075/76, Sudurpashchim Province,816.846618652344,6978.16748046875,3263.2109375, TM      , MA2            , LPi          ,3459.458,81.18,29.708,362.654876253919,0.245082961239427,4.79692400785621,43.4871587045748,6.37618445095215, 3971.0        , 4164.0       , 2736.0        , 10260.0      , 2943.0              , 5792.0             , 2057.0              , 16138.0            , 0.74             , 1.39            , 0.75             , 1.57
BAJURA         , BAJURA         ,2019, 2075/76, Sudurpashchim Province,716.6943359375,6740.23046875,2824.30493164062, TM      , MA2            , LPi          ,2298.212,81.565,29.561,420.803985473592,0.186727956908787,3.82257966722719,46.7148833740073,6.57536184498176, 955.0         , 904.0        , 2545.0        , 6664.0       , 958.0               , 1444.0             , 2588.0              , 6265.0             , 1.0              , 1.6             , 1.02             , 0.94
BANKE          , BANKE          ,2019, 2075/76, Lumbini Province      ,128.293518066406,1228.09741210938,190.792510986328, TH      , SC2            , RGd          ,1880.856,81.824,28.087,226.092447656513,0.0984524809801277,1.80850183834179,137.272537912381,7.27620145407441, 9.0           , 9183.0       , N/A           , 17798.0      , 10.0                , 20386.0            , N/A                 , 66521.0            , 1.11             , 2.22            , N/A              , 3.74
BARA           , BARA           ,2019, 2075/76, Madhesh Province      ,68.0,905.923034667969,114.3837890625, TH      , SC2            , RGd          ,1272.886,85.073,27.108,155.885986185727,0.103949104410351,2.06294401295367,46.9307805000198,6.82882429435896, 39.0          , 11941.0      , 69.0          , 27094.0      , 85.0                , 43477.0            , 75.0                , 94329.0            , 2.18             , 3.64            , 1.08             , 3.48
BARDIYA        , BARDIYA        ,2019, 2075/76, Lumbini Province      ,133.0,1577.2587890625,179.127197265625, LV      , UF1            , CMg          ,2001.342,81.403,28.384,239.769610604303,0.101674459195698,1.80130098294358,106.86149249042,7.33923232386757, 9.0           , 2697.0       , N/A           , 17638.0      , 10.0                , 7921.0             , N/A                 , 67057.0            , 1.11             , 2.94            , N/A              , 3.8
BHAKTAPUR      , BHAKTAPUR      ,2019, 2075/76, Bagmati Province      ,1289.81018066406,2150.50927734375,1372.20666503906, TM      , MB1            , CMx          ,123.095,85.443,27.677,284.764700359283,0.145116330720101,3.03651011315786,172.980376357072,5.63727564669856, 18.0          , 1998.0       , 112.0         , 2172.0       , 37.0                , 8016.0             , 139.0               , 11113.0            , 2.08             , 4.01            , 1.24             , 5.12
BHOJPUR        , BHOJPUR        ,2019, 2075/76, Koshi Province        ,120.5,3980.7861328125,1292.92114257812, SV      , UF2            , CMg          ,1523.888,87.07,27.181,406.055410901516,0.149693801315416,3.35905832362685,129.665298614515,5.93582854815821, 10.0          , 37629.0      , 5531.0        , 405.0        , 12.0                , 99378.0            , 6983.0              , 856.0              , 1.2              , 2.64            , 1.26             , 2.11
CHITAWAN       , CHITAWAN       ,2019, 2075/76, Bagmati Province      ,110.5,1912.556640625,256.998931884766, TM      , MA1            , CMe          ,2240.456,84.437,27.585,154.407093624932,0.112607889948666,3.59765543871444,105.287410468856,6.50294870521491, 19.0          , 5763.0       , 1483.0        , 5055.0       , 36.0                , 21381.0            , 1522.0              , 23199.0            , 1.92             , 3.71            , 1.03             , 4.59
DADELDHURA     , DADELDHURA     ,2019, 2075/76, Sudurpashchim Province,271.5,2662.40698242188,1260.76049804688, TM      , MA1            , CMe          ,1502.414,80.491,29.223,378.091885821295,0.13550564802019,3.14551280083613,84.1050897817896,6.43620955565288, 175.0         , 3871.0       , 259.0         , 9560.0       , 238.0               , 14280.0            , 304.0               , 19363.0            , 1.36             , 3.69            , 1.18             , 2.03
DAILEKH        , DAILEKH        ,2019, 2075/76, Karnali Province      ,559.5,4051.35693359375,1425.27124023438, TM      , MA2            , RGe          ,1484.311,81.681,28.881,341.749402410875,0.141763840157547,2.8254021574917,95.1133880595949,6.08103721497698, 178.0         , 21331.0      , 2489.0        , 17785.0      , 207.0               , 52112.0            , 2865.0              , 30953.0            , 1.16             , 2.44            , 1.15             , 1.74
DANG           , DANG           ,2019, 2075/76, Lumbini Province      ,186.617767333984,2058.49633789062,593.523529052734, TH      , SC2            , RGd          ,3059.26,82.404,27.969,463.999244524842,0.11398975386498,2.20078447336562,168.800181438686,6.93479637694548, 22.0          , 25691.0      , 15.0          , 11772.0      , 27.0                , 62095.0            , 16.0                , 30048.0            , 1.2              , 2.42            , 1.05             , 2.55
DARCHULA       , DARCHULA       ,2019, 2075/76, Sudurpashchim Province,530.582885742188,7068.1396484375,3508.10424804688, TM      , MA2            , LPi          ,2696.145,80.793,29.948,361.133637241026,0.224041434494121,4.90693167542509,64.8658877161033,6.85122113018199, 1069.0        , 5739.0       , 1374.0        , 6581.0       , 866.0               , 12236.0            , 1133.0              , 9688.0             , 0.81             , 2.13            , 0.82             , 1.47
DHADING        , DHADING        ,2019, 2075/76, Bagmati Province      ,270.880767822266,6951.3525390625,1157.41882324219, TM      , MA2            , LPi          ,1907.158,84.962,27.954,189.95853097152,0.184161917520656,3.12927382404872,57.1033023585447,6.02225089043977, 255.0         , 20678.0      , 6933.0        , 4638.0       , 346.0               , 58601.0            , 6408.0              , 12276.0            , 1.36             , 2.83            , 0.92             , 2.65
DHANKUTA       , DHANKUTA       ,2019, 2075/76, Koshi Province        ,118.757606506348,2694.3544921875,1034.15002441406, SV      , UF2            , CMg          ,898.98,87.333,26.991,416.141671901754,0.132265571896405,3.02599695520061,104.261439764489,6.28033250308557, N/A           , 13467.0      , 7934.0        , 1302.0       , N/A                 , 41613.0            , 9587.0              , 2800.0             , N/A              , 3.09            , 1.21             , 2.15
DHANUSHA       , DHANUSHA       ,2019, 2075/76, Madhesh Province      ,57.4233512878418,713.773010253906,98.2833023071289, TH      , SC2            , RGd          ,1188.969,86.036,26.828,117.777688154344,0.0735737234147109,1.16454522040253,35.5936244754015,6.31621295115148, 2.0           , 3284.0       , 184.0         , 36290.0      , 3.0                 , 9556.0             , 178.0               , 116708.0           , 1.5              , 2.91            , 0.96             , 3.22
DOLAKHA        , DOLAKHA        ,2019, 2075/76, Bagmati Province      ,593.790100097656,6900.5400390625,2693.76489257812, TM      , MA2            , LPi          ,2147.002,86.201,27.785,267.905931334118,0.176616451923932,3.37109601314696,83.1804857363801,5.55297184695014, 145.0         , 6054.0       , 3556.0        , 4236.0       , 173.0               , 17018.0            , 4759.0              , 8260.0             , 1.19             , 2.81            , 1.34             , 1.95
