District       , Province              , Elevation_Min     , Elevation_Max    , Slope_Median      , Landform, Parent_Material, Dominant_Soil, area    , longitude, latitude
DOLPA          , Karnali Province      , 1501.69506835938  , 7731.5078125     , 4793.42724609375  , TM      , MA2            , LPi          , 7946.52 ,    83.054,   29.171
BANKE          , Lumbini Province      ,  128.293518066406 , 1228.09741210938 ,  190.792510986328 , TH      , SC2            , RGd          , 1880.856,    81.824,   28.087
SAPTARI        , Madhesh Province      ,   61.1346588134766,  436.26171875    ,   90.0238037109375, TH      , SC2            , RGd          , 1281.516,    86.749,   26.598
KAPILBASTU     , Lumbini Province      ,   88.7635269165039, 1265.87573242188 ,  116.869033813477 , TH      , SC2            , RGd          , 1651.659,    82.983,   27.628
KAILALI        , Sudurpashchim Province,  138.0            , 1952.61047363281 ,  210.908737182617 , TM      , MA1            , CMe          , 3286.136,    80.881,   28.742
JUMLA          , Karnali Province      , 2035.96752929688  , 6546.94140625    , 3439.25695800781  , TM      , MA2            , LPi          , 2554.398,    82.219,   29.272
ROLPA          , Lumbini Province      ,  654.026062011719 , 3647.13012695312 , 1796.36608886719  , TM      , MA2            , RGe          , 1885.559,    82.63 ,   28.344
BAGLUNG        , Gandaki Province      ,  581.0            , 4640.00634765625 , 2237.62829589844  , TM      , MA2            , LPi          , 1836.212,    83.252,   28.347
SURKHET        , Karnali Province      ,  198.5            , 2713.39721679688 ,  792.544799804688 , TM      , MA1            , CMe          , 2486.202,    81.588,   28.641
PALPA          , Lumbini Province      ,  218.424285888672 , 1890.34606933594 ,  990.207244873047 , TM      , MA1            , CMe          , 1462.567,    83.626,   27.817
TERHATHUM      , Koshi Province        ,  314.5            , 3009.18017578125 , 1394.34899902344  , SV      , UF2            , CMg          ,  670.592,    87.552,   27.154
SARLAHI        , Madhesh Province      ,   67.5            ,  694.423034667969,  106.920471191406 , TH      , SC2            , RGd          , 1263.618,    85.568,   26.986
KANCHANPUR     , Sudurpashchim Province,  159.152694702148 , 1505.19421386719 ,  205.706359863281 , LV      , UF1            , CMg          , 1618.111,    80.323,   28.862
DAILEKH        , Karnali Province      ,  559.5            , 4051.35693359375 , 1425.27124023438  , TM      , MA2            , RGe          , 1484.311,    81.681,   28.881
DHANUSHA       , Madhesh Province      ,   57.4233512878418,  713.773010253906,   98.2833023071289, TH      , SC2            , RGd          , 1188.969,    86.036,   26.828
MUSTANG        , Gandaki Province      , 1770.47045898438  , 6987.1884765625  , 4730.4482421875   , TM      , MA2            , LPi          , 3564.949,    83.86 ,   28.981
BAJHANG        , Sudurpashchim Province,  816.846618652344 , 6978.16748046875 , 3263.2109375      , TM      , MA2            , LPi          , 3459.458,    81.18 ,   29.708
RUKUMEAST      , Lumbini Province      ,  951.950073242188 , 7058.1689453125  , 3066.55224609375  , TM      , MA2            , LPi          , 1682.362,    82.813,   28.674
CHITAWAN       , Bagmati Province      ,  110.5            , 1912.556640625   ,  256.998931884766 , TM      , MA1            , CMe          , 2240.456,    84.437,   27.585
BAJURA         , Sudurpashchim Province,  716.6943359375   , 6740.23046875    , 2824.30493164062  , TM      , MA2            , LPi          , 2298.212,    81.565,   29.561
PARSA          , Madhesh Province      ,   75.6167449951172,  846.730163574219,  180.81787109375  , TH      , SC2            , RGd          , 1407.074,    84.782,   27.239
PANCHTHAR      , Koshi Province        ,  331.5            , 4615.68359375    , 1605.63793945312  , SV      , UF2            , CMg          , 1248.063,    87.778,   27.115
NAWALPARASIEAST, Gandaki Province      ,  106.5            , 1893.65856933594 ,  337.243438720703 , TM      , MA1            , CMe          , 1426.415,    84.064,   27.687
BARDIYA        , Lumbini Province      ,  133.0            , 1577.2587890625  ,  179.127197265625 , LV      , UF1            , CMg          , 2001.342,    81.403,   28.384
RASUWA         , Bagmati Province      ,  613.395568847656 , 7204.4150390625  , 3741.8671875      , TM      , MA2            , LPi          , 1501.12 ,    85.418,   28.183
MUGU           , Karnali Province      , 1094.0            , 6809.84716796875 , 3999.96142578125  , TM      , MA2            , LPi          , 3233.739,    82.372,   29.618
SIRAHA         , Madhesh Province      ,   66.1186981201172,  711.960205078125,  106.20783996582  , LV      , UF1            , CMg          , 1139.635,    86.345,   26.746
GULMI          , Lumbini Province      ,  459.5            , 2677.65112304688 , 1278.63439941406  , TM      , MA1            , CMe          , 1108.282,    83.309,   28.094
KHOTANG        , Koshi Province        ,  161.5            , 3623.7294921875  , 1295.84375        , SV      , UF2            , CMg          , 1589.458,    86.789,   27.168
RUKUMWEST      , Karnali Province      ,  677.0            , 5860.443359375   , 1998.69909667969  , TM      , MA2            , LPi          , 1213.417,    82.462,   28.739
NAWALPARASIWEST, Lumbini Province      ,   99.0            , 1166.69519042969 ,  115.263748168945 , TH      , SC2            , RGd          ,  726.466,    83.741,   27.528
MANANG         , Gandaki Province      , 1477.93371582031  , 8034.90625       , 4928.43676757812  , TM      , MA2            , LPi          , 2321.552,    84.227,   28.673
BARA           , Madhesh Province      ,   68.0            ,  905.923034667969,  114.3837890625   , TH      , SC2            , RGd          , 1272.886,    85.073,   27.108
LAMJUNG        , Gandaki Province      ,  374.116546630859 , 7849.52392578125 , 1924.53607177734  , TM      , MA2            , LPi          , 1663.107,    84.432,   28.289
BHOJPUR        , Koshi Province        ,  120.5            , 3980.7861328125  , 1292.92114257812  , SV      , UF2            , CMg          , 1523.888,    87.07 ,   27.181
MORANG         , Koshi Province        ,   57.9486808776855, 2364.02392578125 ,  105.974941253662 , TM      , MA1            , CMe          , 1822.713,    87.473,   26.617
TAPLEJUNG      , Koshi Province        ,  495.5            , 8543.11328125    , 3778.78991699219  , TM      , MA2            , LPi          , 3632.584,    87.824,   27.582
SUNSARI        , Koshi Province        ,   62.5            , 1783.26843261719 ,   91.5066986083984, SV      , UF2            , CMg          , 1192.082,    87.173,   26.65
ACHHAM         , Sudurpashchim Province,  326.0            , 3808.05981445312 , 1309.40710449219  , TM      , MA2            , RGe          , 1700.448,    81.299,   29.112
SALYAN         , Karnali Province      ,  325.5            , 2808.11694335938 , 1300.40625        , TM      , MA1            , CMe          , 1880.396,    82.146,   28.402
PYUTHAN        , Lumbini Province      ,  316.0            , 3612.08178710938 , 1253.53210449219  , TM      , MA2            , RGe          , 1321.108,    82.867,   28.115
JAJARKOT       , Karnali Province      ,  607.0            , 5398.15869140625 , 2170.43347167969  , TM      , MA2            , LPi          , 2222.519,    82.17 ,   28.865
DARCHULA       , Sudurpashchim Province,  530.582885742188 , 7068.1396484375  , 3508.10424804688  , TM      , MA2            , LPi          , 2696.145,    80.793,   29.948
SYANGJA        , Gandaki Province      ,  307.5            , 2257.06518554688 ,  983.070220947266 , TM      , MA1            , CMe          , 1037.965,    83.805,   28.021
HUMLA          , Karnali Province      , 1173.0            , 6997.869140625   , 4668.60034179688  , TV      , UF1            , RGe          , 6008.728,    81.882,   30.032
SINDHUPALCHOK  , Bagmati Province      ,  627.5            , 6741.48486328125 , 2240.38696289062  , TM      , MA2            , CMu          , 2491.359,    85.742,   27.915
ILAM           , Koshi Province        ,  115.0            , 3594.64208984375 , 1068.93518066406  , TM      , MA2            , CMu          , 1685.818,    87.904,   26.881
MAKAWANPUR     , Bagmati Province      ,  139.0            , 2580.658203125   ,  664.185089111328 , TM      , MA1            , CMe          , 2443.827,    85.081,   27.47
MAHOTTARI      , Madhesh Province      ,   58.5692291259766,  793.34814453125 ,  102.198787689209 , TH      , SC2            , RGd          , 1000.874,    85.822,   26.879
KASKI          , Gandaki Province      ,  383.5            , 7879.4404296875  , 2135.43920898438  , TM      , MA2            , LPi          , 2085.276,    83.999,   28.355
JHAPA          , Koshi Province        ,   59.761791229248 ,  826.230651855469,  102.456111907959 , TM      , MA1            , CMe          , 1603.77 ,    87.916,   26.584
TANAHU         , Gandaki Province      ,  182.0            , 2115.46044921875 ,  645.626586914062 , TM      , MA1            , CMe          , 1572.372,    84.253,   27.955
LALITPUR       , Bagmati Province      ,  414.401641845703 , 2810.4365234375  , 1518.54248046875  , TM      , MB1            , CMx          ,  396.834,    85.345,   27.539
BHAKTAPUR      , Bagmati Province      , 1289.81018066406  , 2150.50927734375 , 1372.20666503906  , TM      , MB1            , CMx          ,  123.095,    85.443,   27.677
OKHALDHUNGA    , Koshi Province        ,  331.0            , 3433.61499023438 , 1487.54565429688  , TM      , MA2            , CMu          , 1076.205,    86.421,   27.329
